term,fp_rate,fn_rate,overall_rate,fp_over_overall_ratio,fn_over_overall_ratio
trauma,0.1233,0.098,0.1264,0.976,0.776
abuse,0.207,0.098,0.167,1.24,0.587
assault,0.0132,0.0196,0.0232,0.569,0.845
violence,0.0132,0.0,0.0181,0.732,0.0
nightmare,0.0,0.0,0.009,0.0,0.0
flashback,0.0,0.0,0.0097,0.0,0.0
hypervigilant,0.0,0.0,0.0032,0.0,0.0
startle,0.0,0.0,0.0013,0.0,0.0
intrusive,0.0,0.0,0.0032,0.0,0.0
avoidance,0.0044,0.0,0.0039,1.139,0.0
combat,0.0044,0.0294,0.0058,0.759,5.069
veteran,0.0,0.0,0.0013,0.0,0.0
sexual,0.0529,0.0392,0.0522,1.012,0.751
domestic,0.0044,0.0,0.0064,0.683,0.0
mva,0.0176,0.049,0.0464,0.38,1.056
gunshot,0.0088,0.0,0.0032,2.733,0.0
stabbing,0.0441,0.0,0.0258,1.708,0.0
prazosin,0.0044,0.0098,0.0135,0.325,0.724
sertraline,0.0088,0.0,0.0181,0.488,0.0
paroxetine,0.0044,0.0,0.0019,2.278,0.0
emdr,0.0,0.0,0.0006,0.0,0.0
depression,0.4185,0.3039,0.3649,1.147,0.833
anxiety,0.2203,0.1961,0.256,0.861,0.766
panic,0.0088,0.0392,0.0516,0.171,0.76
bipolar,0.0969,0.0098,0.0645,1.503,0.152
schizo,0.0308,0.0098,0.0213,1.449,0.461
psychiatric,0.1101,0.0392,0.0858,1.284,0.457
suicide,0.1101,0.0196,0.1038,1.061,0.189
self_harm,0.0088,0.0,0.0193,0.456,0.0
overdose,0.0661,0.0294,0.0374,1.767,0.787
heroin,0.0441,0.049,0.0413,1.068,1.188
cocaine,0.0396,0.049,0.0522,0.759,0.939
methadone,0.0352,0.0294,0.0355,0.994,0.829
opioid,0.0264,0.0392,0.0232,1.139,1.69
alcohol,0.141,0.1078,0.1057,1.333,1.02
detox,0.0264,0.0196,0.0206,1.281,0.95
