threshold,net_benefit_model_2pct,net_benefit_treatall_2pct,net_benefit_model_5pct,net_benefit_treatall_5pct
0.01,0.395053,0.419729,0.407661,0.419729
0.015,0.387646,0.416784,0.401529,0.416784
0.02,0.372439,0.413808,0.395571,0.413808
0.025,0.349006,0.410802,0.38974,0.410802
0.03,0.300717,0.407765,0.387293,0.407765
0.035,0.0,0.404696,0.38371,0.404696
0.04,0.0,0.401596,0.379191,0.401596
0.045,0.0,0.398463,0.370766,0.398463
0.05,0.0,0.395297,0.36496,0.395297
0.055,0.0,0.392097,0.356179,0.392097
0.06,0.0,0.388864,0.347038,0.388864
0.065,0.0,0.385596,0.335319,0.385596
0.07,0.0,0.382292,0.316813,0.382292
0.075,0.0,0.378953,0.288236,0.378953
0.08,0.0,0.375578,0.0,0.375578
0.085,0.0,0.372166,0.0,0.372166
0.09,0.0,0.368716,0.0,0.368716
0.095,0.0,0.365229,0.0,0.365229
0.1,0.0,0.361702,0.0,0.361702
0.105,0.0,0.358136,0.0,0.358136
0.11,0.0,0.35453,0.0,0.35453
0.115,0.0,0.350884,0.0,0.350884
0.12,0.0,0.347195,0.0,0.347195
0.125,0.0,0.343465,0.0,0.343465
0.13,0.0,0.339692,0.0,0.339692
0.135,0.0,0.335875,0.0,0.335875
0.14,0.0,0.332014,0.0,0.332014
0.145,0.0,0.328108,0.0,0.328108
0.15,0.0,0.324155,0.0,0.324155
0.155,0.0,0.320156,0.0,0.320156
0.16,0.0,0.316109,0.0,0.316109
0.165,0.0,0.312014,0.0,0.312014
0.17,0.0,0.30787,0.0,0.30787
0.175,0.0,0.303675,0.0,0.303675
0.18,0.0,0.299429,0.0,0.299429
0.185,0.0,0.295131,0.0,0.295131
0.19,0.0,0.29078,0.0,0.29078
0.195,0.0,0.286375,0.0,0.286375
0.2,0.0,0.281915,0.0,0.281915
0.205,0.0,0.277399,0.0,0.277399
0.21,0.0,0.272825,0.0,0.272825
0.215,0.0,0.268194,0.0,0.268194
0.22,0.0,0.263502,0.0,0.263502
0.225,0.0,0.258751,0.0,0.258751
0.23,0.0,0.253938,0.0,0.253938
0.235,0.0,0.249061,0.0,0.249061
0.24,0.0,0.244121,0.0,0.244121
0.245,0.0,0.239115,0.0,0.239115
0.25,0.0,0.234043,0.0,0.234043
0.255,0.0,0.228902,0.0,0.228902
0.26,0.0,0.223692,0.0,0.223692
0.265,0.0,0.218411,0.0,0.218411
0.27,0.0,0.213057,0.0,0.213057
0.275,0.0,0.20763,0.0,0.20763
0.28,0.0,0.202128,0.0,0.202128
0.285,0.0,0.196548,0.0,0.196548
0.29,0.0,0.19089,0.0,0.19089
0.295,0.0,0.185152,0.0,0.185152
0.3,0.0,0.179331,0.0,0.179331
0.305,0.0,0.173427,0.0,0.173427
0.31,0.0,0.167438,0.0,0.167438
0.315,0.0,0.16136,0.0,0.16136
0.32,0.0,0.155194,0.0,0.155194
0.325,0.0,0.148936,0.0,0.148936
0.33,0.0,0.142585,0.0,0.142585
0.335,0.0,0.136138,0.0,0.136138
0.34,0.0,0.129594,0.0,0.129594
0.345,0.0,0.122949,0.0,0.122949
0.35,0.0,0.116203,0.0,0.116203
0.355,0.0,0.109352,0.0,0.109352
0.36,0.0,0.102394,0.0,0.102394
0.365,0.0,0.095326,0.0,0.095326
0.37,0.0,0.088146,0.0,0.088146
0.375,0.0,0.080851,0.0,0.080851
0.38,0.0,0.073439,0.0,0.073439
0.385,0.0,0.065906,0.0,0.065906
0.39,0.0,0.058249,0.0,0.058249
0.395,0.0,0.050466,0.0,0.050466
0.4,0.0,0.042553,0.0,0.042553
