group,value,n,n_pos,calibration_in_large,cal_ci_lo,cal_ci_hi,recall_at_threshold,AUPRC,AUPRC_ci_lo,AUPRC_ci_hi,AUPRC_ci_width,AUPRC_reliable
sex,F,940,433,0.454,0.429,0.4926,0.873,0.8954,0.8718,0.917,0.0452,True
sex,M,611,227,0.5257,0.3341,0.4105,0.7225,0.7729,0.7248,0.8183,0.0935,True
age_group,20s,293,140,0.4422,0.4213,0.5349,0.9214,0.9322,0.8988,0.9587,0.0599,True
age_group,30s,359,194,0.3943,0.4887,0.5912,0.8196,0.8917,0.8573,0.9243,0.067,True
age_group,40s,308,131,0.4881,0.3714,0.4811,0.8397,0.8338,0.7733,0.8834,0.1101,True
age_group,50s,277,81,0.6009,0.242,0.3485,0.8148,0.7881,0.7015,0.8615,0.16,False
age_group,Other,314,114,0.5095,0.3118,0.4176,0.6842,0.7954,0.724,0.8523,0.1283,True
race,Asian,48,5,0.7097,0.0453,0.2217,0.8,0.6131,0.1804,1.0,0.8196,False
race,Black,209,91,0.4912,0.37,0.5032,0.9121,0.917,0.8719,0.9551,0.0832,True
race,Hispanic,93,44,0.4474,0.3747,0.5736,0.8182,0.8627,0.7799,0.9303,0.1504,False
race,Other/Unknown,118,35,0.591,0.2217,0.3844,0.8286,0.8613,0.7616,0.9382,0.1766,False
race,White,1083,485,0.4615,0.4184,0.4776,0.8041,0.8513,0.8235,0.8768,0.0533,True
race_binary,Non-White,468,175,0.53,0.3313,0.4186,0.8686,0.8806,0.8396,0.9159,0.0763,True
race_binary,White,1083,485,0.4615,0.4184,0.4776,0.8041,0.8513,0.8235,0.8768,0.0533,True
emergency,False,696,210,0.5919,0.2688,0.3368,0.7952,0.7649,0.7156,0.814,0.0984,True
emergency,True,855,450,0.3929,0.4928,0.5596,0.8333,0.9035,0.8835,0.9231,0.0396,True
